日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,臺南,19.19,3.7,17.99,21.7,24.52,63.47,30.66,85.68,2.54
2018-01-08,臺南,14.63,3.25,16.18,19.42,27.63,47.6,20.86,71.33,2.35
2018-01-15,臺南,20.41,4.06,19.47,23.53,26.12,84.62,48.18,81.54,2.71
2018-01-22,臺南,19.27,3.16,15.49,18.64,29.08,67.03,27.12,78.57,2.31
2018-01-29,臺南,14.29,2.72,15.51,18.23,24.89,42.54,24.74,80.55,1.91
2018-02-05,臺南,13.86,2.99,18.21,21.19,23.92,58.02,34.24,81.52,2.13
2018-02-12,臺南,19.86,3.2,18.38,21.58,34.56,80.91,37.91,72.68,2.45
2018-02-19,臺南,20.38,2.28,17.41,19.68,30.28,69.82,38.09,78.38,2.71
2018-02-26,臺南,23.24,4.47,19.75,24.22,29.45,74.22,41.69,76.58,3.22
2018-03-05,臺南,20.07,3.08,15.4,18.47,30.64,55.44,26.4,73.66,2.55
2018-03-12,臺南,22.61,2.07,17.67,19.73,42.81,59.17,36.9,70.92,3.17
2018-03-19,臺南,21.95,1.93,14.77,16.69,45.4,53.34,25.65,65.1,2.76
2018-03-26,臺南,24.18,1.52,14.46,15.99,46.83,68.79,36.92,70.27,2.82
2018-04-02,臺南,23.92,1.92,10.4,12.32,42.82,69.48,27.03,64.05,2.45
2018-04-09,臺南,26.41,2.5,11.33,13.82,32.77,42.9,15.4,71.3,3.18
2018-04-16,臺南,25.21,1.94,11.73,13.67,50.9,59.49,28.81,68.67,3.04
2018-04-23,臺南,27.11,1.84,10.92,12.76,45.54,54.29,26.72,72.17,3.01
2018-04-30,臺南,28.31,1.8,8.73,10.52,38.95,44.49,18.82,71.11,2.88
2018-05-07,臺南,27.26,1.94,10.02,11.96,35.39,43.72,17.98,76.55,2.76
2018-05-14,臺南,29.3,2.18,7.33,9.49,18.21,28.46,10.93,75.95,2.8
2018-05-21,臺南,29.96,2.09,7.16,9.24,26.54,34.4,15.77,70.44,2.78
2018-05-28,臺南,30.29,1.86,7.16,9.02,33.4,40.53,17.15,72.45,3.05
2018-06-04,臺南,30.55,1.67,7.92,9.59,35.66,32.73,15.55,71.79,2.71
2018-06-11,臺南,28.32,2.03,9.98,12.01,41.23,35.14,15.23,79.86,2.62
2018-06-18,臺南,26.99,3.46,10.23,13.69,15.43,24.99,6.95,89.71,2.28
2018-06-25,臺南,29.47,2.11,7.76,9.87,18.47,26.07,8.71,76.33,2.3
2018-07-02,臺南,27.7,2.83,10.39,13.22,17.44,22.13,7.49,84.25,2.34
2018-07-09,臺南,29.47,2.2,8.31,10.51,26.59,32.78,13.91,76.98,2.54
2018-07-16,臺南,29.77,1.68,6.5,8.18,32.46,32.07,14.39,77.16,2.46
2018-07-23,臺南,29.59,2.08,7.91,9.99,22.78,28.16,12.11,77.8,2.46
2018-07-30,臺南,29.84,2.59,6.29,8.88,20.37,23.94,9.24,76.88,2.3
2018-08-06,臺南,29.64,2.13,7.42,9.54,31.32,28.73,13.86,75.95,1.66
2018-08-13,臺南,27.65,2.31,9.29,11.6,22.88,23.36,7.49,87.29,2.27
2018-08-20,臺南,26.67,1.99,8.54,10.53,27.08,26.92,7.41,91.3,2.18
2018-08-27,臺南,26.21,4.19,8.95,13.14,15.58,24.22,7.75,89.3,2.24
2018-09-03,臺南,28.77,2.32,8.08,10.39,25.54,32.34,13.61,80.91,2.16
2018-09-10,臺南,29.04,2.01,10.79,12.8,33.34,55.04,21.15,79.66,3.11
2018-09-17,臺南,29.9,1.67,7.66,9.32,32.17,39.14,18.82,74.32,2.78
2018-09-24,臺南,28.09,1.53,10.15,11.68,43.94,66.23,19.49,69.88,2.67
2018-10-01,臺南,26.61,1.69,11.9,13.59,58.61,67.18,27.8,67.85,3.33
2018-10-08,臺南,26.32,1.81,14.06,15.87,41.11,54.95,28.35,75.92,3.24
2018-10-15,臺南,25.9,2.18,14.49,16.66,41.52,59.63,28.05,76.49,3.22
2018-10-22,臺南,25.56,1.99,14.71,16.69,46.54,81.52,34.22,72.15,3.85
2018-10-29,臺南,23.53,3.01,18.17,21.17,36.18,67.29,28.83,77.11,3.49
2018-11-05,臺南,25.78,2.33,15.39,17.71,37.92,77.45,41.13,81.75,3.12
2018-11-12,臺南,25.62,2.45,18.94,21.37,34.03,79.66,36.97,74.93,3.98
2018-11-19,臺南,23.83,2.15,16.26,18.41,34.26,65.79,23.04,74.59,3.13
2018-11-26,臺南,22.7,2.35,17.7,20.05,32.44,66.32,29.59,79.78,3.03
2018-12-03,臺南,23.85,2.79,17.29,20.08,28.04,73.74,24.91,75.58,3.73
2018-12-10,臺南,21.24,3.31,16.82,20.13,23.18,59.39,21.1,78.78,2.94
2018-12-17,臺南,21.66,3.51,23.07,26.57,32.06,87.11,38.34,70.35,3.45
2018-12-24,臺南,19.97,2.15,14.43,16.57,27.5,64.28,17.21,75.03,2.54
