日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,沙鹿,20.15,6.56,16.73,23.31,23.49,56.92,26.68,87.27,2.56
2016-01-08,沙鹿,16.31,1.79,13.71,15.5,30.51,43.75,20.48,83.19,2.39
2016-01-15,沙鹿,16.07,1.95,16.96,18.91,25.35,44.85,22.68,83.74,2.21
2016-01-22,沙鹿,12.07,3.01,13.11,16.09,28.79,36.64,15.22,78.21,2.43
2016-01-29,沙鹿,15.36,2.31,13.28,15.6,28.3,29.54,12.46,88.04,1.68
2016-02-05,沙鹿,13.73,2.72,15.66,18.37,42.6,64.96,35.79,64.02,3.12
2016-02-12,沙鹿,16.67,2.37,13.45,15.76,24.43,34.08,17.46,76.83,2.33
2016-02-19,沙鹿,14.74,2.96,15.27,18.16,31.41,58.36,27.86,79.02,1.95
2016-02-26,沙鹿,15.73,3.36,19.32,22.69,32.94,59.8,28.36,75.84,2.66
2016-03-04,沙鹿,19.11,2.75,19.16,21.88,27.13,60.02,34.85,82.83,2.63
2016-03-11,沙鹿,15.65,3.91,18.54,22.43,25.8,39.2,23.46,89.19,2.29
2016-03-18,沙鹿,19.01,3.44,19.3,22.67,29.03,58.33,33.45,90.71,2.0
2016-03-25,沙鹿,16.2,2.02,18.95,20.96,47.11,65.23,35.97,64.73,2.9
2016-04-01,沙鹿,23.36,3.39,15.94,19.32,31.65,75.61,45.41,82.7,3.13
2016-04-08,沙鹿,22.9,2.29,16.52,18.76,29.0,51.88,30.08,87.02,2.53
2016-04-15,沙鹿,23.52,2.03,14.38,16.46,33.26,49.54,22.51,84.02,2.14
2016-04-22,沙鹿,25.38,2.41,13.67,16.05,28.83,46.85,20.34,81.68,3.01
2016-04-29,沙鹿,24.74,2.98,15.45,18.4,37.15,57.69,29.26,77.45,3.28
2016-05-06,沙鹿,26.82,2.67,13.73,16.39,26.29,39.08,16.32,78.03,3.45
2016-05-13,沙鹿,24.74,1.64,12.89,14.52,39.98,43.45,18.99,80.68,2.88
2016-05-20,沙鹿,26.4,2.65,17.72,20.4,28.35,43.22,21.3,84.3,3.01
2016-05-27,沙鹿,29.12,2.03,8.73,10.77,21.62,26.87,8.73,76.17,2.7
2016-06-03,沙鹿,28.03,2.55,12.03,14.59,27.26,27.08,11.21,78.8,2.75
2016-06-10,沙鹿,27.11,1.87,9.63,11.54,20.64,20.24,6.83,82.99,2.06
2016-06-17,沙鹿,29.06,2.44,9.93,12.37,20.41,23.82,7.98,75.74,2.78
2016-06-24,沙鹿,31.07,2.79,10.39,13.15,19.72,26.33,9.08,72.95,3.69
2016-07-01,沙鹿,30.74,2.2,10.78,12.98,26.02,28.09,9.98,73.63,2.95
2016-07-08,沙鹿,29.59,2.24,7.99,10.18,21.46,21.24,6.6,74.11,1.86
2016-07-15,沙鹿,30.18,2.97,9.82,12.81,16.49,28.83,12.27,72.91,2.71
2016-07-22,沙鹿,30.8,2.27,10.35,12.59,23.42,31.67,16.36,70.88,3.23
2016-07-29,沙鹿,30.57,1.92,12.85,14.76,30.76,38.93,18.47,74.42,3.36
2016-08-05,沙鹿,30.36,1.86,11.2,12.9,27.74,36.24,16.52,76.9,2.66
2016-08-12,沙鹿,29.39,1.96,12.27,14.24,27.33,32.85,14.58,80.99,3.4
2016-08-19,沙鹿,30.31,1.97,11.24,13.2,31.06,48.43,22.32,76.68,3.09
2016-08-26,沙鹿,29.19,1.21,13.18,14.39,48.3,60.39,30.76,70.74,3.38
2016-09-02,沙鹿,28.65,2.21,12.17,14.36,23.79,30.02,13.36,80.82,2.41
2016-09-09,沙鹿,28.53,3.21,13.22,16.46,21.26,34.26,13.82,79.01,2.67
2016-09-16,沙鹿,27.71,1.94,11.45,13.41,32.99,43.16,17.06,75.04,2.32
2016-09-23,沙鹿,28.15,2.95,12.27,15.19,23.47,41.74,19.11,80.02,2.36
2016-09-30,沙鹿,28.12,2.96,15.97,18.99,27.06,52.29,26.3,77.67,2.69
2016-10-07,沙鹿,25.72,3.04,11.36,14.4,28.92,34.89,11.63,81.45,2.1
2016-10-14,沙鹿,28.35,2.07,20.61,22.7,38.71,87.5,41.09,75.52,5.16
2016-10-21,沙鹿,28.31,3.29,17.63,20.88,26.17,59.3,26.23,79.46,3.92
2016-10-28,沙鹿,24.37,1.46,10.77,12.24,36.79,47.74,16.36,71.74,2.26
2016-11-04,沙鹿,23.47,2.46,19.14,21.61,31.44,53.04,25.8,74.88,3.53
2016-11-11,沙鹿,24.14,4.15,21.46,25.65,32.09,75.51,35.53,80.39,3.07
2016-11-18,沙鹿,23.77,3.38,19.0,22.35,23.68,50.29,24.14,81.68,3.41
2016-11-25,沙鹿,21.21,2.37,16.0,18.33,28.13,43.2,17.06,77.82,2.29
2016-12-02,沙鹿,21.23,1.85,14.79,16.65,30.35,51.45,21.24,77.4,2.6
2016-12-09,沙鹿,20.29,3.64,16.64,20.26,29.31,49.72,23.16,74.31,2.25
2016-12-16,沙鹿,20.24,3.9,20.52,24.45,28.15,61.09,32.18,74.27,2.95
2016-12-23,沙鹿,18.44,2.21,14.91,17.11,29.84,51.71,21.67,74.22,2.17
