日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,汐止,19.05,3.34,14.94,18.26,31.48,26.21,15.14,83.51,2.1
2018-01-08,汐止,13.52,9.69,18.09,27.78,24.73,25.22,15.25,71.31,2.42
2018-01-15,汐止,19.17,12.03,18.9,30.93,28.61,29.46,21.51,87.95,3.03
2018-01-22,汐止,16.9,3.68,14.94,18.58,30.73,24.02,14.56,87.85,2.12
2018-01-29,汐止,12.28,3.25,14.04,17.28,33.29,21.07,16.58,93.28,1.96
2018-02-05,汐止,12.74,13.14,23.13,36.07,25.03,33.92,20.58,87.62,2.21
2018-02-12,汐止,17.66,7.91,20.07,27.97,29.19,58.3,27.62,73.44,2.89
2018-02-19,汐止,17.31,5.17,17.41,22.57,29.69,39.86,24.15,88.84,2.43
2018-02-26,汐止,20.55,15.81,25.67,41.48,21.37,49.96,31.84,83.68,3.37
2018-03-05,汐止,17.12,4.26,15.75,19.99,30.98,29.2,17.15,78.18,2.17
2018-03-12,汐止,20.84,15.51,23.3,38.8,24.32,33.06,20.39,79.49,3.53
2018-03-19,汐止,19.19,5.75,16.47,22.21,35.73,35.35,20.31,69.42,2.72
2018-03-26,汐止,23.14,4.35,15.18,19.51,32.39,36.47,19.65,69.23,2.63
2018-04-02,汐止,21.43,5.54,15.57,21.12,32.02,58.19,26.14,73.4,2.45
2018-04-09,汐止,23.56,12.54,21.16,33.69,27.2,40.26,24.36,79.43,3.2
2018-04-16,汐止,22.4,4.19,18.63,22.81,37.0,44.22,22.23,74.73,2.97
2018-04-23,汐止,24.06,5.12,17.33,22.44,42.09,34.85,25.36,75.95,3.07
2018-04-30,汐止,25.77,5.57,18.1,23.67,38.37,39.14,27.39,76.44,4.43
2018-05-07,汐止,25.49,4.43,17.8,22.23,37.2,35.39,19.55,75.65,5.28
2018-05-14,汐止,29.15,5.93,18.78,24.71,31.29,37.95,24.19,78.4,6.15
2018-05-21,汐止,28.28,4.3,18.29,22.58,32.97,35.7,19.01,77.24,5.48
2018-05-28,汐止,27.69,4.1,16.33,20.44,38.25,30.18,14.24,81.62,3.83
2018-06-04,汐止,28.65,3.88,10.81,14.69,23.7,18.21,5.4,83.76,3.12
2018-06-11,汐止,26.5,3.01,13.24,16.24,43.73,26.36,9.79,83.34,2.04
2018-06-18,汐止,28.72,9.03,16.09,25.12,19.28,23.99,4.8,82.14,2.39
2018-06-25,汐止,30.61,5.09,14.82,19.91,30.64,29.37,11.63,71.9,3.89
2018-07-02,汐止,30.62,6.58,14.96,21.54,20.8,24.25,8.38,68.4,2.69
2018-07-09,汐止,29.73,4.92,5.68,10.6,14.98,13.42,3.37,73.83,1.73
2018-07-16,汐止,30.0,4.6,6.49,11.08,12.48,11.37,3.3,75.1,2.43
2018-07-23,汐止,30.57,4.75,15.32,20.07,26.86,31.45,15.23,73.16,4.2
2018-07-30,汐止,31.36,3.66,14.76,18.42,33.86,29.74,12.89,69.9,3.21
2018-08-06,汐止,30.38,4.46,11.83,16.29,25.71,21.59,9.61,71.64,3.1
2018-08-13,汐止,29.42,4.71,15.67,20.38,23.01,21.48,5.39,79.12,2.04
2018-08-20,汐止,29.65,3.37,11.97,15.34,27.62,15.99,2.85,77.24,2.34
2018-08-27,汐止,28.11,8.0,15.15,23.15,20.27,23.33,3.48,79.69,2.11
2018-09-03,汐止,29.11,4.95,15.74,20.7,30.55,26.02,8.54,76.06,2.85
2018-09-10,汐止,28.77,5.25,8.67,13.91,20.43,13.96,2.32,76.7,1.72
2018-09-17,汐止,29.94,5.54,12.4,17.95,23.35,22.85,8.51,71.59,2.59
2018-09-24,汐止,25.38,3.7,10.9,14.6,39.76,34.45,8.73,80.97,1.86
2018-10-01,汐止,24.34,3.67,16.15,19.8,45.97,35.91,16.61,70.69,2.76
2018-10-08,汐止,22.5,2.3,13.09,15.4,36.1,19.13,12.02,92.4,1.98
2018-10-15,汐止,22.87,3.69,16.74,20.42,36.51,25.78,7.07,82.75,2.64
2018-10-22,汐止,23.64,5.81,17.98,23.79,33.7,39.11,15.49,74.74,2.53
2018-10-29,汐止,21.78,2.57,14.39,16.94,41.32,22.7,11.38,83.07,2.5
2018-11-05,汐止,24.33,5.97,15.55,21.52,25.87,24.45,15.72,85.36,2.91
2018-11-12,汐止,22.77,3.83,14.85,18.68,29.64,21.47,8.4,82.8,2.58
2018-11-19,汐止,21.1,4.2,14.87,19.06,30.3,17.1,6.91,82.1,2.11
2018-11-26,汐止,21.47,7.11,20.71,27.81,24.05,30.26,11.31,76.48,2.96
2018-12-03,汐止,20.53,8.26,16.09,24.35,27.67,22.38,8.93,87.35,2.72
2018-12-10,汐止,18.24,5.23,14.47,19.7,25.2,16.62,8.11,92.71,1.94
2018-12-17,汐止,19.25,12.64,21.18,33.81,25.81,34.69,14.79,75.02,3.18
2018-12-24,汐止,16.85,2.8,11.42,14.22,32.32,11.16,4.39,91.78,1.65
