ID,town
101,臺北市松山區
110,臺北市中山區
111,臺北市內湖區
112,臺北市南港區
115,臺北市士林區
116,臺北市北投區
117,臺北市信義區
118,臺北市中正區
119,臺北市萬華區
120,臺北市文山區
1102,基隆市七堵區
3101,新北市板橋區
3103,新北市永和區
3104,新北市中和區
3105,新北市新店區
3106,新北市新莊區
3107,新北市樹林區
3108,新北市鶯歌區
3109,新北市三峽區
3111,新北市汐止區
3113,新北市土城區
3114,新北市蘆洲區
3115,新北市五股區
3117,新北市林口區
3118,新北市深坑區
3119,新北市石碇區
3120,新北市坪林區
3123,新北市八里區
3124,新北市平溪區
3125,新北市雙溪區
3126,新北市貢寮區
3201,桃園市桃園區
3202,桃園市中壢區
3203,桃園市大溪區
3204,桃園市楊梅區
3205,桃園市蘆竹區
3206,桃園市大園區
3207,桃園市龜山區
3208,桃園市八德區
3210,桃園市平鎮區
3404,宜蘭縣頭城鎮
