日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2019-01-01,楠梓,21.17,5.07,21.18,26.25,20.95,63.86,38.14,81.04,2.68
2019-01-08,楠梓,22.49,3.85,20.82,24.66,28.13,76.79,45.62,78.15,2.75
2019-01-15,楠梓,19.12,3.09,17.8,20.88,26.88,67.83,47.69,79.86,2.37
2019-01-22,楠梓,17.53,3.87,20.11,23.98,32.32,87.29,53.31,70.87,2.74
2019-01-29,楠梓,21.63,3.6,19.86,23.45,34.86,66.62,41.63,70.21,2.59
2019-02-05,楠梓,21.86,1.25,11.53,12.79,33.12,52.63,35.77,74.08,2.19
2019-02-12,楠梓,22.7,2.21,16.22,18.42,30.34,57.06,36.37,74.53,2.55
2019-02-19,楠梓,22.77,3.23,16.06,19.28,26.09,47.17,29.52,75.85,2.14
2019-02-26,楠梓,22.79,2.42,14.87,17.28,35.95,60.02,37.28,74.99,2.29
2019-03-05,楠梓,20.77,3.45,19.49,22.93,23.95,43.58,26.69,82.68,2.18
2019-03-12,楠梓,22.4,3.48,18.23,21.69,40.75,62.48,37.65,71.18,2.49
2019-03-19,楠梓,23.25,3.81,17.41,21.22,24.39,51.89,31.37,79.16,2.64
2019-03-26,楠梓,24.28,1.99,13.73,15.7,34.95,46.32,24.32,76.34,2.24
2019-04-02,楠梓,24.49,3.01,11.74,14.73,42.76,57.41,37.37,75.79,2.33
2019-04-09,楠梓,26.13,3.23,12.1,15.34,31.36,46.65,28.04,74.43,2.73
2019-04-16,楠梓,25.62,2.87,14.03,16.9,33.12,32.93,22.23,79.95,2.15
2019-04-23,楠梓,28.02,4.45,10.32,14.77,25.14,33.01,20.86,75.16,2.4
2019-04-30,楠梓,24.4,2.77,12.77,15.53,31.2,29.61,17.91,85.95,1.88
2019-05-07,楠梓,26.0,2.98,13.09,16.06,35.74,46.27,29.36,81.48,2.33
2019-05-14,楠梓,28.85,3.2,8.82,12.01,17.93,23.83,13.5,79.96,1.85
2019-05-21,楠梓,26.93,2.45,14.04,16.49,42.21,38.48,21.97,79.47,3.03
2019-05-28,楠梓,28.72,3.24,9.08,12.32,24.67,23.34,13.0,76.79,1.94
2019-06-04,楠梓,29.33,5.74,8.94,14.68,14.48,17.07,9.09,77.08,2.15
2019-06-11,楠梓,28.15,3.84,12.04,15.87,26.54,19.27,10.98,82.99,2.29
2019-06-18,楠梓,29.89,4.94,8.32,13.26,15.68,,8.5,75.75,1.85
2019-06-25,楠梓,28.59,4.73,13.5,18.23,17.02,58.37,7.99,83.24,2.33
2019-07-02,楠梓,27.6,7.7,13.05,20.76,12.44,18.38,8.91,87.4,2.72
2019-07-09,楠梓,28.64,5.73,9.0,14.73,14.41,20.93,10.87,82.93,1.72
2019-07-16,楠梓,28.21,4.44,11.93,16.37,19.99,25.2,14.46,84.49,2.32
2019-07-23,楠梓,29.29,4.41,8.4,12.8,18.13,18.98,10.22,77.82,1.92
2019-07-30,楠梓,28.76,3.34,10.02,13.36,24.72,25.55,15.19,80.93,1.95
2019-08-06,楠梓,29.21,3.28,8.14,11.41,26.32,31.37,13.15,83.52,1.99
2019-08-13,楠梓,26.38,3.71,13.03,16.73,18.85,17.61,7.68,92.28,1.87
2019-08-20,楠梓,27.87,3.85,10.75,14.6,23.54,24.12,11.89,85.48,3.05
2019-08-27,楠梓,28.65,3.7,9.05,12.75,24.33,28.98,16.64,81.54,2.06
2019-09-03,楠梓,28.03,4.23,10.34,14.55,22.29,19.82,11.58,82.74,2.08
2019-09-10,楠梓,28.39,2.22,12.01,14.21,35.56,32.94,23.36,80.26,2.56
2019-09-17,楠梓,26.99,2.0,11.09,13.08,46.78,53.06,26.35,71.97,1.85
2019-09-24,楠梓,27.6,2.31,13.55,15.85,47.47,57.38,30.1,74.65,2.3
2019-10-01,楠梓,27.72,2.47,11.98,14.44,40.19,45.64,28.63,77.29,2.07
2019-10-08,楠梓,27.52,1.75,11.26,13.0,48.87,47.2,25.72,77.1,2.3
2019-10-15,楠梓,25.83,2.32,14.53,16.84,44.55,66.53,26.34,71.32,2.91
2019-10-22,楠梓,25.97,1.65,14.57,16.22,46.78,56.24,26.71,74.4,2.73
2019-10-29,楠梓,25.53,2.11,14.78,16.88,39.85,72.45,30.62,77.77,2.24
2019-11-05,楠梓,23.65,2.32,15.98,18.3,41.35,67.18,27.89,73.1,2.35
2019-11-12,楠梓,23.76,4.25,17.65,21.89,42.57,66.46,33.42,71.83,2.38
2019-11-19,楠梓,23.49,2.99,17.08,20.06,32.1,56.3,25.18,75.85,2.44
2019-11-26,楠梓,21.79,3.05,16.02,19.06,31.11,60.99,24.59,75.14,2.18
2019-12-03,楠梓,17.03,3.77,15.22,18.98,24.41,40.62,19.41,77.2,1.6
2019-12-10,楠梓,20.76,3.91,19.43,23.34,31.12,58.24,29.68,71.96,2.47
2019-12-17,楠梓,21.82,4.74,18.93,23.67,20.59,51.34,26.89,79.17,2.09
2019-12-24,楠梓,20.63,4.06,18.23,22.29,20.88,49.9,25.95,79.69,2.15
