日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,古亭,19.04,4.42,16.14,20.55,28.89,23.73,9.64,81.45,1.74
2018-01-08,古亭,13.49,8.32,18.85,27.16,24.25,24.39,10.41,69.49,1.97
2018-01-15,古亭,19.56,8.32,21.59,29.9,28.29,27.53,12.94,78.55,2.56
2018-01-22,古亭,17.41,4.0,15.51,19.51,29.59,22.89,9.99,78.35,1.63
2018-01-29,古亭,12.22,4.84,20.61,25.45,25.93,22.2,10.527142857142858,87.82,1.59
2018-02-05,古亭,12.59,14.27,24.78,39.05,23.8,31.63,11.064285714285715,83.15,1.98
2018-02-12,古亭,18.4,5.17,19.43,24.59,33.85,57.83,11.601428571428572,64.29,1.93
2018-02-19,古亭,17.68,5.36,21.34,26.69,27.66,37.11,12.13857142857143,80.79,1.97
2018-02-26,古亭,20.89,13.9,29.86,43.74,21.83,54.41,12.675714285714287,76.05,2.74
2018-03-05,古亭,17.52,5.46,17.19,22.65,31.4,27.91,13.212857142857143,69.96,1.62
2018-03-12,古亭,21.35,6.43,24.31,30.74,29.82,35.54,13.75,69.1,2.51
2018-03-19,古亭,19.59,3.78,17.55,21.33,38.33,37.74,14.287142857142857,62.01,1.85
2018-03-26,古亭,23.76,3.65,13.95,17.59,36.54,40.9,14.824285714285715,58.64,1.59
2018-04-02,古亭,22.12,3.12,14.71,17.82,37.89,64.53,15.361428571428572,63.17,2.0
2018-04-09,古亭,24.08,6.6,20.92,27.51,31.77,42.58,15.89857142857143,69.36,2.58
2018-04-16,古亭,23.04,2.97,16.03,19.0,44.0,49.78,16.435714285714287,64.26,1.9
2018-04-23,古亭,24.18,3.52,17.8,21.32,44.06,37.81,16.972857142857144,68.23,2.43
2018-04-30,古亭,26.31,3.11,18.03,21.15,39.45,40.94,17.51,66.4,2.92
2018-05-07,古亭,25.95,3.71,17.53,21.23,37.48,38.69,13.43,65.57,2.66
2018-05-14,古亭,29.74,4.11,20.2,24.31,31.57,50.58,20.77,67.46,4.0
2018-05-21,古亭,29.48,3.97,18.86,22.82,34.41,45.33,16.26,63.68,3.04
2018-05-28,古亭,29.18,3.0,15.43,18.42,39.74,35.45,13.58,65.88,2.45
2018-06-04,古亭,29.42,4.51,13.63,18.13,23.12,29.28,10.32,70.04,2.67
2018-06-11,古亭,27.02,3.26,15.42,18.67,41.42,36.24,11.6,70.34,1.74
2018-06-18,古亭,29.13,6.61,15.06,21.66,17.42,24.89,7.5,70.29,1.94
2018-06-25,古亭,30.17,4.56,15.24,19.79,30.18,28.7,13.45,65.28,2.59
2018-07-02,古亭,30.51,6.0,13.97,19.97,18.38,22.44,8.36,59.99,2.03
2018-07-09,古亭,30.09,4.74,6.38,11.12,13.73,13.82,6.6,61.66,1.54
2018-07-16,古亭,30.34,5.51,7.14,12.65,11.94,15.07,5.91,64.1,2.02
2018-07-23,古亭,30.42,4.91,15.9,20.81,27.02,33.08,12.3,65.62,2.73
2018-07-30,古亭,31.34,3.82,16.66,20.47,30.59,34.3,21.02,62.66,2.82
2018-08-06,古亭,30.47,4.54,13.65,18.18,26.0,28.48,22.5,63.29,2.77
2018-08-13,古亭,29.29,5.18,16.66,21.83,22.29,25.19,15.94,71.65,2.11
2018-08-20,古亭,29.44,3.59,14.78,18.37,26.09,20.18,14.55,70.02,1.89
2018-08-27,古亭,27.56,7.1,17.25,24.34,18.76,27.79,18.22,74.6,1.74
2018-09-03,古亭,28.62,5.18,16.86,22.04,25.47,29.09,19.43,70.05,2.27
2018-09-10,古亭,29.16,4.87,8.9,13.76,18.92,16.41,10.65,66.05,1.54
2018-09-17,古亭,30.18,4.6,12.68,17.27,23.84,24.68,16.06,61.68,2.07
2018-09-24,古亭,25.37,4.79,17.02,21.8,31.92,30.28,15.39,73.48,1.69
2018-10-01,古亭,24.7,2.74,15.4,18.13,49.06,36.76,15.55,64.29,1.98
2018-10-08,古亭,22.68,3.12,16.46,19.58,33.48,17.94,13.25,84.08,1.62
2018-10-15,古亭,23.16,3.16,15.97,19.13,39.0,21.1,12.6,75.73,1.69
2018-10-22,古亭,23.72,4.21,17.6,21.8,35.41,34.4,15.56,70.32,2.09
2018-10-29,古亭,22.04,3.14,15.03,18.16,41.29,16.22,11.03,78.0,1.67
2018-11-05,古亭,24.91,4.76,19.18,23.94,25.58,39.87,20.67,77.48,2.26
2018-11-12,古亭,23.26,4.15,16.4,20.55,29.1,30.09,15.95,76.09,2.08
2018-11-19,古亭,21.61,3.63,14.98,18.6,30.93,25.56,13.98,75.43,1.57
2018-11-26,古亭,22.01,5.21,17.57,22.78,30.48,35.22,17.96,69.29,1.77
2018-12-03,古亭,21.14,5.1,17.28,22.38,26.79,25.17,14.46,79.36,2.15
2018-12-10,古亭,18.65,5.8,16.48,22.28,22.65,22.62,12.64,85.72,2.06
2018-12-17,古亭,20.12,6.09,20.76,26.85,29.65,40.45,20.91,68.24,2.06
2018-12-24,古亭,17.0,4.38,15.03,19.4,26.75,18.08,9.64,86.84,1.64
