日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,馬公,19.99,1.83,5.01,6.84,37.6,46.7,29.17,85.1,1.5
2016-01-08,馬公,17.63,1.11,3.7,4.8,42.79,37.96,27.16,79.17,1.36
2016-01-15,馬公,17.65,1.25,4.3,5.55,43.23,39.38,28.4,81.1,1.49
2016-01-22,馬公,13.99,0.85,3.89,4.67,40.0,28.33,15.74,75.74,1.62
2016-01-29,馬公,16.32,0.84,4.16,4.92,40.01,28.2,18.63,84.27,1.42
2016-02-05,馬公,15.26,0.86,5.37,6.22,54.36,46.84,26.92,66.61,2.47
2016-02-12,馬公,18.45,1.82,5.06,6.89,39.15,27.48,16.21,78.61,3.38
2016-02-19,馬公,17.28,0.9,3.45,4.34,49.3,58.81,23.06,75.93,1.3
2016-02-26,馬公,17.45,0.78,3.04,3.82,53.56,44.59,22.73,75.29,1.56
2016-03-04,馬公,21.67,,,,41.18,29.01,17.7,81.37,1.85
2016-03-11,馬公,17.91,1.68,4.16,5.8,45.62,42.54,22.3,83.0,1.25
2016-03-18,馬公,20.42,1.92,5.72,7.65,43.16,43.43,21.35,86.12,1.29
2016-03-25,馬公,17.89,1.58,5.92,7.52,59.68,58.09,29.12,67.11,1.96
2016-04-01,馬公,23.93,1.9,5.37,7.2,36.08,38.43,24.62,82.19,1.62
2016-04-08,馬公,24.15,1.01,6.03,6.98,38.56,24.04,16.84,85.32,2.06
2016-04-15,馬公,24.48,2.56,6.25,8.67,40.82,29.32,16.91,83.04,3.66
2016-04-22,馬公,26.48,2.06,6.25,8.28,33.13,26.39,16.79,82.99,2.11
2016-04-29,馬公,25.92,1.9,6.6,8.41,42.85,34.45,21.77,77.83,2.22
2016-05-06,馬公,27.31,2.35,4.95,7.29,29.11,18.43,11.13,79.29,1.64
2016-05-13,馬公,25.69,1.15,2.84,3.94,49.74,36.59,18.99,78.56,1.45
2016-05-20,馬公,27.51,2.46,6.28,8.74,37.49,21.79,13.92,83.98,2.16
2016-05-27,馬公,29.18,3.32,6.19,9.49,18.83,15.94,6.44,81.0,3.16
2016-06-03,馬公,28.58,3.29,6.87,10.15,25.03,11.68,8.58,80.27,3.99
2016-06-10,馬公,28.2,3.18,6.41,9.57,22.17,15.47,6.76,87.04,3.11
2016-06-17,馬公,29.46,2.55,5.05,7.59,19.94,10.53,6.3,78.64,2.4
2016-06-24,馬公,30.14,2.6,4.56,7.14,16.12,9.38,6.08,76.77,2.49
2016-07-01,馬公,29.68,2.14,4.08,6.22,18.95,13.4,6.27,78.27,1.85
2016-07-08,馬公,28.56,2.01,4.42,6.44,23.84,20.82,6.75,85.6,1.83
2016-07-15,馬公,29.86,2.71,5.32,8.0,16.22,16.25,9.77,78.46,1.58
2016-07-22,馬公,29.36,1.65,4.75,6.37,23.86,12.08,10.21,76.74,1.53
2016-07-29,馬公,29.52,1.82,5.1,6.92,31.88,24.95,12.27,78.44,1.95
2016-08-05,馬公,28.96,1.28,3.74,5.02,36.45,19.96,13.28,83.52,2.28
2016-08-12,馬公,28.27,1.79,6.2,8.01,27.86,13.9,7.12,84.15,1.87
2016-08-19,馬公,28.96,1.63,4.73,6.37,33.35,31.74,16.67,83.08,2.36
2016-08-26,馬公,28.37,0.92,4.39,5.3,58.65,41.75,24.08,75.35,2.07
2016-09-02,馬公,28.1,1.89,5.12,7.01,27.71,17.95,9.2,86.46,1.86
2016-09-09,馬公,27.93,1.85,3.81,5.65,27.96,20.87,10.37,83.31,1.74
2016-09-16,馬公,27.72,1.45,2.79,4.24,44.03,30.71,16.28,77.15,1.77
2016-09-23,馬公,27.36,1.18,2.44,3.61,31.54,33.44,16.05,79.94,1.64
2016-09-30,馬公,27.74,1.5,4.53,6.02,33.32,29.19,16.4,83.0,2.06
2016-10-07,馬公,26.01,1.41,3.43,4.85,35.67,22.19,10.51,83.46,1.87
2016-10-14,馬公,27.26,1.45,3.16,4.61,26.0,37.95,14.93,86.05,1.92
2016-10-21,馬公,27.75,1.25,3.43,4.67,34.17,30.15,16.95,83.48,1.91
2016-10-28,馬公,24.91,0.99,2.13,3.11,43.87,36.09,17.9,74.79,1.36
2016-11-04,馬公,24.51,1.02,2.92,3.93,43.84,34.01,18.87,79.28,1.98
2016-11-11,馬公,24.92,1.04,2.99,4.03,48.68,35.83,21.19,79.78,1.83
2016-11-18,馬公,23.94,1.22,3.17,4.38,37.16,26.14,14.05,82.53,1.86
2016-11-25,馬公,21.14,1.14,3.05,4.19,37.0,39.69,17.4,80.35,1.81
2016-12-02,馬公,21.23,0.93,2.51,3.43,42.83,49.25,22.84,79.29,1.6
2016-12-09,馬公,20.18,1.07,2.79,3.85,44.18,38.83,19.51,77.93,1.68
2016-12-16,馬公,20.26,1.38,4.24,5.62,38.38,38.07,20.36,79.47,1.69
2016-12-23,馬公,18.54,1.26,3.03,4.29,38.91,44.81,20.46,78.47,1.46
