日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2018-01-01,關山,18.79,1.65,5.02,6.67,23.29,18.36,9.37,84.3,1.13
2018-01-08,關山,13.95,1.09,4.97,6.05,29.01,25.31,13.88,78.9,2.9
2018-01-15,關山,19.67,1.56,4.76,6.32,20.75,19.06,9.85,81.69,3.12
2018-01-22,關山,18.93,1.11,4.42,5.54,28.37,21.77,8.06,81.33,2.71
2018-01-29,關山,15.5,0.79,5.38,6.16,31.93,18.37,7.73,79.2,1.81
2018-02-05,關山,14.43,1.14,5.22,6.36,28.26,20.78,9.83,83.27,1.62
2018-02-12,關山,18.03,0.99,4.64,5.63,29.29,32.19,14.42,79.33,1.69
2018-02-19,關山,20.31,1.09,4.31,5.39,26.35,20.62,10.0,82.68,1.83
2018-02-26,關山,22.07,1.38,3.46,4.83,22.15,24.97,10.4,81.55,1.85
2018-03-05,關山,19.01,1.08,3.77,4.83,30.04,26.04,10.54,77.32,1.96
2018-03-12,關山,21.29,1.13,3.63,4.75,28.63,21.29,9.98,77.43,2.1
2018-03-19,關山,19.91,1.02,3.57,4.57,31.22,29.87,14.21,78.3,1.88
2018-03-26,關山,21.33,1.2,2.85,4.04,26.7,28.06,12.71,75.92,2.22
2018-04-02,關山,21.54,1.26,3.59,4.85,28.67,42.36,13.92,74.43,2.48
2018-04-09,關山,23.36,1.62,3.0,4.61,20.88,22.68,8.89,79.05,2.26
2018-04-16,關山,22.2,1.31,3.09,4.4,29.83,24.36,9.76,80.86,2.23
2018-04-23,關山,23.43,1.72,3.17,4.9,28.51,24.5,10.17,83.67,1.92
2018-04-30,關山,24.82,1.23,3.18,4.42,23.23,25.0,8.93,80.54,1.93
2018-05-07,關山,24.93,1.99,3.6,5.59,23.49,27.04,9.64,80.13,2.02
2018-05-14,關山,28.78,1.76,2.81,4.57,14.1,16.87,7.28,74.66,2.27
2018-05-21,關山,28.33,1.98,3.25,5.22,19.77,21.6,10.05,73.59,2.14
2018-05-28,關山,28.27,1.43,2.45,3.86,22.59,18.32,6.91,75.54,2.24
2018-06-04,關山,29.06,1.7,1.93,3.63,14.3,16.28,,75.05,1.96
2018-06-11,關山,25.4,1.47,2.83,4.31,30.37,19.97,10.08,86.55,1.74
2018-06-18,關山,27.2,1.99,2.77,4.76,12.42,22.09,8.08,84.09,1.73
2018-06-25,關山,29.04,1.98,2.41,4.4,11.63,26.62,12.62,72.69,1.86
2018-07-02,關山,28.23,2.08,3.21,5.29,15.71,26.77,11.63,76.13,1.89
2018-07-09,關山,28.17,2.15,2.19,4.35,12.07,17.02,8.46,74.06,1.75
2018-07-16,關山,27.88,2.69,1.61,4.29,9.14,14.26,6.42,77.61,1.77
2018-07-23,關山,29.28,2.34,2.37,4.71,12.72,22.16,9.17,72.84,1.84
2018-07-30,關山,29.9,1.68,2.38,4.06,19.69,25.17,12.89,69.08,1.81
2018-08-06,關山,29.19,1.56,2.15,3.7,16.78,21.73,10.85,71.04,1.61
2018-08-13,關山,27.79,1.73,2.49,4.21,15.38,24.13,7.81,81.82,1.39
2018-08-20,關山,27.08,1.5,2.75,4.23,16.65,19.61,6.16,84.88,1.57
2018-08-27,關山,25.32,2.2,2.04,4.24,11.08,19.08,6.33,88.42,1.4
2018-09-03,關山,28.05,1.42,2.59,4.0,13.02,24.82,9.24,75.25,1.72
2018-09-10,關山,26.71,1.56,1.89,3.44,14.76,17.9,5.78,81.9,1.41
2018-09-17,關山,27.74,1.72,1.77,3.48,9.32,17.83,7.13,76.75,1.28
2018-09-24,關山,26.29,1.75,2.34,4.09,21.78,27.42,9.87,79.37,
2018-10-01,關山,24.72,1.49,2.85,4.32,36.34,42.7,15.36,72.54,1.45
2018-10-08,關山,23.57,1.18,2.99,4.16,25.16,16.7,7.92,83.47,1.89
2018-10-15,關山,23.59,1.52,3.0,4.53,31.87,21.73,9.6,82.14,2.09
2018-10-22,關山,23.22,1.8,3.43,5.24,28.22,30.78,12.24,81.01,1.94
2018-10-29,關山,21.64,3.77,3.39,7.16,32.0,25.03,8.35,82.44,2.19
2018-11-05,關山,24.41,2.88,2.76,5.64,13.79,24.57,7.7,78.82,1.96
2018-11-12,關山,22.82,2.28,3.24,5.51,19.6,20.85,8.9,80.45,1.87
2018-11-19,關山,21.46,2.33,3.41,5.74,22.76,17.22,8.79,80.85,1.88
2018-11-26,關山,20.59,2.2,3.38,5.59,23.22,21.88,10.88,80.12,1.78
2018-12-03,關山,22.34,1.63,3.66,5.27,20.08,21.19,7.34,78.73,1.4
2018-12-10,關山,20.67,1.51,3.94,5.46,23.05,15.03,7.91,79.21,1.24
2018-12-17,關山,19.02,1.27,4.22,5.48,22.56,20.27,11.55,79.49,1.37
2018-12-24,關山,18.91,1.15,3.89,5.03,27.01,11.25,6.51,81.32,1.13
