日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2016-01-01,中壢,18.8,27.83,28.68,56.61,15.98,65.79,28.15,84.35,4.07
2016-01-08,中壢,15.82,15.57,27.93,43.48,21.53,51.03,22.26,81.32,3.51
2016-01-15,中壢,15.31,16.15,27.36,43.55,21.85,52.41,24.47,81.59,3.34
2016-01-22,中壢,11.94,30.24,28.73,59.02,17.47,47.86,17.83,74.95,4.21
2016-01-29,中壢,14.55,15.17,25.26,40.43,21.38,36.99,9.96,86.08,3.26
2016-02-05,中壢,14.19,15.0,28.16,43.15,29.96,71.61,36.23,60.35,3.12
2016-02-12,中壢,15.72,19.04,25.54,44.6,19.76,46.49,17.14,76.33,2.94
2016-02-19,中壢,13.96,15.52,24.97,40.53,27.33,65.36,20.17,79.21,2.62
2016-02-26,中壢,16.28,18.19,30.39,48.58,29.3,59.26,21.42,69.19,3.1
2016-03-04,中壢,18.64,25.75,31.4,57.12,17.12,71.45,30.41,80.71,3.91
2016-03-11,中壢,14.58,33.17,34.33,67.47,19.53,51.51,19.13,87.47,3.21
2016-03-18,中壢,17.31,22.72,31.28,54.04,23.47,58.16,22.5,86.45,3.01
2016-03-25,中壢,15.78,20.0,37.46,57.39,29.43,84.05,38.1,67.53,4.54
2016-04-01,中壢,23.61,23.98,30.36,54.33,17.54,91.71,41.83,78.63,3.91
2016-04-08,中壢,21.64,20.43,27.95,48.38,17.77,63.17,24.83,86.97,3.29
2016-04-15,中壢,23.0,22.96,30.94,53.9,22.44,64.39,21.96,80.26,3.68
2016-04-22,中壢,25.3,22.01,26.83,48.81,19.27,72.01,30.43,80.07,4.34
2016-04-29,中壢,25.2,20.15,31.17,51.33,30.17,81.25,37.64,72.44,4.32
2016-05-06,中壢,26.98,23.8,27.27,51.1,20.1,56.96,21.97,74.49,4.65
2016-05-13,中壢,24.98,15.27,25.4,40.68,26.53,51.63,17.72,75.01,4.05
2016-05-20,中壢,25.96,24.81,30.96,55.75,16.09,58.53,26.57,82.83,5.07
2016-05-27,中壢,29.65,27.17,21.95,49.12,13.93,52.11,14.76,74.21,3.17
2016-06-03,中壢,28.57,22.42,23.53,45.85,18.57,49.8,16.12,76.15,3.3
2016-06-10,中壢,28.27,27.08,19.16,46.2,14.2,40.3,9.06,74.77,2.51
2016-06-17,中壢,29.95,22.66,19.4,42.05,14.95,43.52,11.21,70.55,3.29
2016-06-24,中壢,30.16,23.08,20.98,44.03,18.23,43.01,12.69,71.06,3.6
2016-07-01,中壢,29.95,21.43,18.58,40.03,14.64,40.43,10.61,70.55,3.06
2016-07-08,中壢,29.45,23.36,20.45,43.82,14.89,40.37,9.94,74.0,2.66
2016-07-15,中壢,30.29,25.89,20.53,46.4,13.48,50.68,15.44,67.48,3.13
2016-07-22,中壢,31.06,23.86,26.24,50.14,20.04,51.48,23.93,66.68,4.95
2016-07-29,中壢,30.79,18.73,22.25,40.98,22.5,45.02,17.74,67.21,3.36
2016-08-05,中壢,30.11,20.07,21.68,41.73,16.09,37.67,15.05,72.87,3.85
2016-08-12,中壢,29.2,19.17,24.82,44.0,21.43,44.19,16.28,76.08,3.63
2016-08-19,中壢,30.24,16.32,21.73,38.1,19.97,48.23,19.7,69.29,4.18
2016-08-26,中壢,28.81,14.42,31.18,45.58,34.79,58.24,27.82,65.16,4.27
2016-09-02,中壢,28.6,23.95,25.28,49.3,14.75,42.41,16.79,76.67,3.61
2016-09-09,中壢,27.79,24.39,21.82,46.16,14.6,38.75,12.4,80.18,3.47
2016-09-16,中壢,26.63,17.14,22.25,39.43,22.58,43.0,14.24,75.06,2.89
2016-09-23,中壢,27.46,14.15,19.36,33.48,19.02,41.07,12.65,77.89,3.37
2016-09-30,中壢,28.07,21.8,20.28,42.1,16.01,41.72,14.95,73.34,3.54
2016-10-07,中壢,24.14,18.65,22.1,40.73,19.75,33.19,7.45,87.38,2.81
2016-10-14,中壢,28.12,20.95,15.44,36.4,11.55,32.73,8.0,73.14,2.49
2016-10-21,中壢,28.02,22.19,28.73,50.92,20.36,59.76,25.48,75.73,4.32
2016-10-28,中壢,23.05,12.75,22.04,34.79,25.61,48.8,14.43,74.95,3.46
2016-11-04,中壢,22.26,18.62,28.09,46.78,23.01,52.2,15.72,77.06,3.96
2016-11-11,中壢,23.9,20.67,32.13,52.88,22.34,65.99,23.96,75.67,4.59
2016-11-18,中壢,22.23,26.19,29.04,55.24,15.29,43.47,13.49,80.95,4.13
2016-11-25,中壢,20.39,16.54,23.04,39.6,22.17,47.19,15.03,77.57,2.87
2016-12-02,中壢,20.42,12.89,24.01,36.92,23.88,46.98,16.6,77.28,4.14
2016-12-09,中壢,19.22,14.8,24.68,39.49,25.1,44.16,18.45,74.79,3.43
2016-12-16,中壢,20.02,28.08,30.63,58.72,20.01,54.65,23.08,69.93,4.05
2016-12-23,中壢,18.08,15.84,23.7,39.57,25.45,48.51,17.4,70.81,2.99
