日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2019-01-01,小港,23.59,10.65,30.3,40.95,17.82,67.58,35.64,76.21,4.36
2019-01-08,小港,24.83,7.84,31.6,39.44,24.74,83.72,43.03,73.03,4.61
2019-01-15,小港,21.79,6.72,26.77,33.48,23.66,72.65,40.73,75.51,3.3
2019-01-22,小港,20.42,8.48,32.31,40.79,27.7,93.53,44.21,62.55,4.4
2019-01-29,小港,23.55,4.01,25.61,29.62,33.29,67.36,31.99,65.98,3.53
2019-02-05,小港,23.91,2.92,16.86,19.77,32.65,55.82,29.73,69.46,3.26
2019-02-12,小港,24.31,5.66,23.24,28.89,27.01,57.61,27.79,69.3,3.92
2019-02-19,小港,24.16,5.96,19.91,25.87,23.73,46.8,20.96,74.28,2.59
2019-02-26,小港,24.17,5.08,21.29,26.36,33.41,59.58,30.71,70.68,3.08
2019-03-05,小港,22.66,6.33,26.04,32.37,22.04,47.48,22.13,82.2,4.3
2019-03-12,小港,23.89,4.83,23.41,28.22,39.61,64.59,30.86,65.3,3.73
2019-03-19,小港,24.76,5.89,22.81,28.69,22.49,50.59,24.7,77.94,3.85
2019-03-26,小港,25.61,4.45,19.67,24.11,32.33,47.84,19.56,73.95,3.96
2019-04-02,小港,25.6,3.2,17.87,21.06,42.07,53.11,27.37,70.25,3.31
2019-04-09,小港,26.98,4.64,17.65,22.29,28.67,46.91,20.99,72.89,3.6
2019-04-16,小港,26.47,3.5,20.99,24.47,32.58,33.62,16.19,81.68,3.84
2019-04-23,小港,28.39,5.32,14.02,19.35,19.93,34.25,14.43,76.64,2.88
2019-04-30,小港,25.25,3.58,18.49,22.06,30.32,30.69,15.56,75.21000000000001,2.76
2019-05-07,小港,26.52,3.98,22.16,26.15,31.05,45.29,24.56,73.78,3.11
2019-05-14,小港,29.21,5.18,12.76,17.94,14.75,23.77,7.75,74.08,2.03
2019-05-21,小港,27.58,5.59,18.3,23.89,38.44,41.07,15.14,72.99,5.05
2019-05-28,小港,29.23,4.34,13.54,17.88,21.57,26.2,9.39,71.3,3.1
2019-06-04,小港,29.94,6.29,10.74,17.02,11.73,20.26,6.52,70.26,4.93
2019-06-11,小港,28.89,4.67,14.67,19.34,23.43,23.27,7.55,75.38,4.43
2019-06-18,小港,30.47,5.06,10.42,15.47,13.82,14.11,5.04,68.35,3.36
2019-06-25,小港,29.29,4.54,13.63,18.16,17.15,18.35,5.83,75.1,3.97
2019-07-02,小港,28.42,8.3,14.14,22.44,11.04,23.95,6.88,78.58,5.35
2019-07-09,小港,29.36,5.81,10.84,16.65,13.38,13.74,7.99,74.86,3.04
2019-07-16,小港,28.99,3.66,13.64,17.29,19.17,28.14,10.18,75.03,3.89
2019-07-23,小港,30.11,3.68,11.47,15.14,15.59,18.18,5.62,69.43,3.6
2019-07-30,小港,29.92,3.71,13.68,17.4,21.49,26.31,9.96,69.91,3.72
2019-08-06,小港,30.01,3.23,11.86,15.08,22.43,32.05,10.07,74.35,2.77
2019-08-13,小港,27.25,5.95,16.66,22.59,15.6,18.38,6.76,85.74,3.49
2019-08-20,小港,28.51,6.58,15.04,21.61,20.09,28.61,10.95,81.45,8.78
2019-08-27,小港,29.5,5.59,14.87,20.47,20.88,28.56,11.57,76.51,3.49
2019-09-03,小港,28.78,5.18,13.86,19.04,20.85,20.47,7.15,78.54,3.31
2019-09-10,小港,29.25,2.48,15.16,17.63,32.77,29.05,14.08,74.89,3.71
2019-09-17,小港,28.29,3.27,14.19,17.46,45.6,45.09,17.23,66.04,3.5
2019-09-24,小港,28.58,3.41,15.96,19.37,46.97,47.43,28.38,69.03,3.44
2019-10-01,小港,28.62,3.27,13.16,16.42,40.55,39.29,27.16,71.1,2.41
2019-10-08,小港,28.2,3.24,11.93,15.17,47.09,39.77,24.17,72.36,2.8
2019-10-15,小港,27.17,3.8,18.46,22.25,43.07,55.82,25.8,65.48,3.56
2019-10-22,小港,26.78,3.54,17.22,20.75,46.36,50.74,26.23,68.21,3.84
2019-10-29,小港,26.61,3.96,22.88,26.83,37.33,73.92,33.02,70.93,3.85
2019-11-05,小港,24.84,4.03,23.61,27.65,39.57,67.93,28.35,66.69,3.82
2019-11-12,小港,24.81,3.89,20.74,24.62,43.91,62.56,31.57,65.01,3.29
2019-11-19,小港,24.78,6.44,25.1,31.54,27.9,56.1,26.23,69.25,3.33
2019-11-26,小港,23.14,6.89,24.92,31.81,27.5,61.78,26.61,69.26,3.39
2019-12-03,小港,18.36,6.57,23.33,29.89,21.16,42.15,21.51,72.2,2.52
2019-12-10,小港,22.0,6.03,27.59,33.62,29.59,57.94,28.49,65.82,3.01
2019-12-17,小港,23.14,9.55,26.96,36.51,20.04,55.95,29.74,73.36,3.25
2019-12-24,小港,22.21,10.59,28.06,38.64,16.38,56.9,28.19,74.49,3.29
